Ranking,Nome,Categoria,Lançamento,Pontuação G3D,Pontuação G2D,Preço,Interface,Tdp,Clock GPU (MHz),Clock Memória (MHz),Tamanho Memória
61,Radeon PRO W7700,Unknown,Jan 2024,"22,865","1,304",NA,NA,NA,NA,NA,NA
62,RTX A6000,Workstation,Jan 2021,"22,818",907,"$4,109.99*",PCIe 4.0 x16,300,1410 MHz,1410 MHz,49152 MB
63,GeForce RTX 5070 Ti Laptop GPU,Mobile,Apr 2025,"22,698",968,NA,PCIe 5.0 x16,115,847 MHz,847 MHz,12288 MB
64,GeForce RTX 5060 Ti 16GB,Desktop,Apr 2025,"22,671","1,214",$549.99,PCIe 5.0 x8,180,2407 MHz,2407 MHz,16384 MB
65,GeForce RTX 4060 Ti 16GB,Desktop,Aug 2023,"22,665","1,080",$459.99*,PCIe 4.0 x8,165,2310 MHz,2310 MHz,16384 MB
66,Radeon RX 7700 XT,Desktop,Sep 2023,"22,645","1,160",$399.99,PCIe 4.0 x16,245,1700 MHz,1700 MHz,12288 MB
67,GeForce RTX 4060 Ti,Desktop,May 2023,"22,623","1,097",$569.99,PCIe 4.0 x8,160,2310 MHz,2310 MHz,8192 MB
68,GeForce RTX 5060 Ti 8GB,Desktop,Apr 2025,"22,434","1,209",$389.99,PCIe 5.0 x8,180,2407 MHz,2407 MHz,8192 MB
69,RTX PRO 3000 Blackwell Generation Laptop GPU,Mobile,May 2025,"22,236",852,NA,NA,NA,NA,NA,NA
70,GeForce RTX 3070,Desktop,Oct 2020,"22,129","1,004",$380.10,PCIe 4.0 x16,220,1500 MHz,1500 MHz,8192 MB
71,Radeon RX 7900M,Mobile,Nov 2023,"22,111",893,NA,NA,NA,NA,NA,NA
72,Radeon RX 6800,Desktop,Nov 2020,"22,038",998,$449.99,PCIe 4.0 x16,250,1815 MHz,1815 MHz,16384 MB
73,RTX 4000 Ada Generation Laptop GPU,Mobile,May 2023,"22,002",721,NA,NA,NA,NA,NA,NA
74,GRID RTX6000-6Q,Desktop,May 2024,"21,987",782,NA,NA,NA,NA,NA,NA
75,NVIDIA A10,Unknown,Nov 2022,"21,687",983,NA,NA,NA,NA,NA,NA
76,Radeon RX 7700,Desktop,Nov 2025,"21,491","1,171",NA,NA,NA,NA,NA,NA
77,GeForce RTX 2080 Ti,Desktop,Sep 2018,"21,475",927,$399.99,PCIe 3.0 x16,250,1350 MHz,1350 MHz,11264 MB
78,RTX A5500,Unknown,May 2022,"21,192",911,"$2,169.99*",NA,NA,NA,NA,NA
79,RTX 4000 SFF Ada Generation,Unknown,Apr 2023,"20,952","1,113",NA,NA,NA,NA,NA,NA
Insufficient data,Radeon 610M Ryzen 7 7840HX,Mobile,Nov 2025,"20,904",558,NA,NA,NA,NA,NA,NA
80,GeForce RTX 5060,Desktop,May 2024,"20,838","1,165",$349.99,PCIe 5.0 x16,170,2235 MHz,2235 MHz,8192 MB
81,RTX A4500,Unknown,Mar 2022,"20,757","1,013","$1,149.95",NA,NA,NA,NA,NA
82,Radeon RX 6750 XT,Desktop,May 2022,"20,715",979,$849.00,PCIe 4.0 x16,250,2150 MHz,2150 MHz,12288 MB
83,RTX PRO 2000 Blackwell,Desktop,Jul 2025,"20,607","1,363",$929.99,NA,NA,NA,NA,NA
84,GeForce RTX 3060 Ti,Desktop,Dec 2020,"20,276",990,$382.99,PCIe 4.0 x16,200,1410 MHz,1410 MHz,8192 MB
85,Radeon PRO W6800,Unknown,Jun 2021,"20,190",930,"$1,849.99*",NA,NA,NA,NA,NA
86,Radeon RX 6750 GRE 12GB,Unknown,Feb 2024,"20,178","1,031",NA,NA,NA,NA,NA,NA
87,Radeon RX 9060 XT 16GB,Desktop,Jun 2025,"20,104","1,177",$449.99,PCIe 5.0 x16,160,1700 MHz,1700 MHz,16384 MB
88,L40S,Unknown,Mar 2024,"20,023",708,NA,NA,NA,NA,NA,NA
89,TITAN RTX,Workstation,Dec 2018,"19,947",846,"$1,068.80",PCIe 3.0 x16,280,1350 MHz,1350 MHz,24576 MB
90,Quadro RTX 8000,Workstation,Mar 2019,"19,911",876,"$3,760.00*",PCIe 3.0 x16,260,1395 MHz,1395 MHz,49152 MB
91,TITAN V,Desktop,Dec 2017,"19,854",986,$645.00,PCIe 3.0 x16	,250,1200 MHz,1200 MHz,12288 MB
92,Radeon RX 9060 XT 8GB,Desktop,Jun 2025,"19,804","1,132",$349.99,PCIe 5.0 x16,150,1700 MHz,1700 MHz,8192 MB
93,Radeon RX 6700 XT,Desktop,Mar 2021,"19,742",954,$639.99,PCIe 4.0 x16,230,2321 MHz,2321 MHz,12288 MB
94,RTX 3500 Ada Generation Laptop GPU,Mobile,Apr 2023,"19,711",713,NA,NA,NA,NA,NA,NA
95,GeForce RTX 4070 Laptop GPU,Mobile,Feb 2023,"19,531",767,NA,PCIe 4.0 x16,115,1230 MHz,1230 MHz,8192 MB
96,GeForce RTX 4060,Desktop,Jul 2023,"19,530","1,040",$479.89,PCIe 4.0 x8,115,1830 MHz,1830 MHz,8192 MB
97,SMI USB Display,Desktop,Jul 2025,"19,462","1,437",NA,NA,NA,NA,NA,NA
98,GeForce RTX 2080 SUPER,Desktop,Jul 2019,"19,455",919,$785.00,PCIe 3.0 x16,250,1650 MHz,1650 MHz,8192 MB
99,RTX A4000,Workstation,May 2021,"19,420","1,022","$1,042.99*",PCIe 4.0 x16,140,735 MHz,735 MHz,16384 MB
